         109315 function calls (106883 primitive calls) in 1.049 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        3    0.000    0.000    0.002    0.001 <string>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
      525    0.002    0.000    0.002    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:112(Error)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:139(NoSectionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:147(DuplicateSectionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:155(NoOptionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:165(InterpolationError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:174(InterpolationMissingOptionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:188(InterpolationSyntaxError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:192(InterpolationDepthError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:204(ParsingError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:217(MissingSectionHeaderError)
        1    0.000    0.000    0.006    0.006 ConfigParser.py:231(RawConfigParser)
        2    0.000    0.000    0.001    0.000 ConfigParser.py:232(__init__)
        8    0.000    0.000    0.001    0.000 ConfigParser.py:253(add_section)
       16    0.000    0.000    0.000    0.000 ConfigParser.py:373(optionxform)
       16    0.000    0.000    0.000    0.000 ConfigParser.py:388(set)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:558(_Chainmap)
        1    0.000    0.000    0.001    0.001 ConfigParser.py:588(ConfigParser)
        1    0.000    0.000    0.001    0.001 ConfigParser.py:686(SafeConfigParser)
       16    0.000    0.000    0.001    0.000 ConfigParser.py:734(set)
        1    0.003    0.003    0.011    0.011 ConfigParser.py:88(<module>)
        1    0.000    0.000    0.000    0.000 Dialog.py:12(Dialog)
        1    0.000    0.000    0.000    0.000 Dialog.py:3(<module>)
        1    0.000    0.000    0.000    0.000 FileDialog.py:21(FileDialog)
        1    0.000    0.000    0.000    0.000 FileDialog.py:220(LoadFileDialog)
        1    0.000    0.000    0.000    0.000 FileDialog.py:234(SaveFileDialog)
        1    0.001    0.001    0.001    0.001 FileDialog.py:9(<module>)
        1    0.000    0.000    0.000    0.000 FixTk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:1710(_ImageCrop)
        1    0.000    0.000    0.000    0.000 Image.py:1745(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:1749(ImageTransformHandler)
        1    0.012    0.012    0.015    0.015 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:33(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 Image.py:417(_E)
        1    0.000    0.000    0.000    0.000 Image.py:447(Image)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        1    0.000    0.000    0.000    0.000 Tkconstants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:129(Event)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1476(CallWrapper)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1496(XView)
